,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
717,718,Resident Evil: Retribution,"$240,159,255","$42,345,531",17.6%,"$197,813,724",82.4%,2012
718,719,Die Hard 2,"$240,031,274","$117,540,947",49%,"$122,490,327",51%,1990
719,720,Crocodile Dundee II,"$239,606,210","$109,306,210",45.6%,"$130,300,000",54.4%,1988
720,721,Crazy Rich Asians,"$239,343,729","$174,837,452",73%,"$64,506,277",27%,2018
721,722,Bullet Train,"$239,268,602","$103,368,602",43.2%,"$135,900,000",56.8%,2022
722,723,Batman & Robin,"$238,259,307","$107,353,792",45.1%,"$130,905,515",54.9%,1997
723,724,Howl's Moving Castle,"$237,728,734","$6,789,268",2.9%,"$230,939,466",97.1%,2004
724,725,Gulliver's Travels,"$237,382,724","$42,779,261",18%,"$194,603,463",82%,2010
725,726,Gone in 60 Seconds,"$237,202,299","$101,648,571",42.8%,"$135,553,728",57.2%,2000
726,727,Green Lantern,"$237,201,172","$116,601,172",49.2%,"$120,600,000",50.8%,2011
727,728,Saturday Night Fever,"$237,113,184","$94,213,184",39.7%,"$142,900,000",60.3%,1977
728,729,Silver Linings Playbook,"$236,412,453","$132,092,958",55.9%,"$104,319,495",44.1%,2012
729,730,2 Fast 2 Furious,"$236,353,236","$127,154,901",53.8%,"$109,198,335",46.2%,2003
730,731,Hidden Figures,"$235,957,472","$169,607,287",71.9%,"$66,350,185",28.1%,2016
731,732,A.I. Artificial Intelligence,"$235,926,635","$78,616,689",33.3%,"$157,309,946",66.7%,2001
732,733,Dead Poets Society,"$235,860,116","$95,860,116",40.6%,"$140,000,000",59.4%,1989
733,734,Spy,"$235,666,219","$110,825,712",47%,"$124,840,507",53%,2015
734,735,American Pie,"$235,483,004","$102,561,004",43.6%,"$132,922,000",56.4%,1999
735,736,American Reunion,"$234,989,584","$57,011,521",24.3%,"$177,978,063",75.7%,2012
736,737,Big Daddy,"$234,801,895","$163,479,795",69.6%,"$71,322,100",30.4%,1999
737,738,Alvin and the Chipmunks: The Road Chip,"$234,798,636","$85,886,987",36.6%,"$148,911,649",63.4%,2015
