,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
1072,1073,Scream,"$173,046,663","$103,046,663",59.6%,"$70,000,000",40.4%,1996
1073,1074,Cold Mountain,"$173,013,509","$95,636,509",55.3%,"$77,377,000",44.7%,2003
1074,1075,Black Hawk Down,"$172,989,651","$108,638,745",62.8%,"$64,350,906",37.2%,2001
1075,1076,The Santa Clause 2,"$172,855,065","$139,236,327",80.6%,"$33,618,738",19.4%,2002
1076,1077,Cloverfield,"$172,394,180","$80,048,433",46.4%,"$92,345,747",53.6%,2008
1077,1078,Scream 2,"$172,363,301","$101,363,301",58.8%,"$71,000,000",41.2%,1997
1078,1079,Couples Retreat,"$171,844,840","$109,204,945",63.6%,"$62,639,895",36.4%,2009
1079,1080,Antz,"$171,757,863","$90,757,863",52.8%,"$81,000,000",47.2%,1998
1080,1081,Blood Diamond,"$171,720,398","$57,377,916",33.4%,"$114,342,482",66.6%,2006
1081,1082,Jackass 3D,"$171,685,792","$117,229,692",68.3%,"$54,456,100",31.7%,2010
1082,1083,No Country for Old Men,"$171,632,777","$74,283,625",43.3%,"$97,349,152",56.7%,2007
1083,1084,Spies in Disguise,"$171,616,764","$66,757,013",38.9%,"$104,859,751",61.1%,2019
1084,1085,Cocktail,"$171,504,781","$78,222,753",45.6%,"$93,282,028",54.4%,1988
1085,1086,Chinese Zodiac,"$171,339,013",-,-,"$171,339,013",100%,2012
1086,1087,One Piece Film: Red,"$171,319,579","$12,775,324",7.5%,"$158,544,255",92.5%,2022
1087,1088,Mr. Deeds,"$171,269,535","$126,293,452",73.7%,"$44,976,083",26.3%,2002
1088,1089,Nope,"$171,235,592","$123,277,080",72%,"$47,958,512",28%,2022
1089,1090,Contact,"$171,120,329","$100,920,329",59%,"$70,200,000",41%,1997
1090,1091,Superbad,"$170,812,574","$121,463,226",71.1%,"$49,349,348",28.9%,2007
1091,1092,The Other Guys,"$170,458,922","$119,219,978",69.9%,"$51,238,944",30.1%,2010
1092,1093,The Specialist,"$170,362,582","$57,362,582",33.7%,"$113,000,000",66.3%,1994
1093,1094,Olympus Has Fallen,"$170,270,201","$98,925,640",58.1%,"$71,344,561",41.9%,2013
1094,1095,Starsky & Hutch,"$170,268,750","$88,237,754",51.8%,"$82,030,996",48.2%,2004
1095,1096,Princess Mononoke,"$170,205,792","$4,845,631",2.8%,"$165,360,161",97.2%,1999
1096,1097,Shall We Dance?,"$170,128,460","$57,890,460",34%,"$112,238,000",66%,2004
1097,1098,Stuart Little 2,"$169,956,806","$64,956,806",38.2%,"$105,000,000",61.8%,2002
1098,1099,Zookeeper,"$169,852,759","$80,360,843",47.3%,"$89,491,916",52.7%,2011
1099,1100,Ghost in the Shell,"$169,846,945","$40,563,557",23.9%,"$129,283,388",76.1%,2017
1100,1101,Dumb and Dumber To,"$169,837,010","$86,208,010",50.8%,"$83,629,000",49.2%,2014
1101,1102,Seven Pounds,"$169,748,929","$69,951,824",41.2%,"$99,797,105",58.8%,2008
1102,1103,The Emperor's New Groove,"$169,701,502","$89,636,687",52.8%,"$80,064,815",47.2%,2000
1103,1104,Wonder Woman 1984,"$169,601,036","$46,801,036",27.6%,"$122,800,000",72.4%,2020
1104,1105,Meet the Robinsons,"$169,333,034","$97,822,171",57.8%,"$71,510,863",42.2%,2007
1105,1106,Scream VI,"$168,961,389","$108,161,389",64%,"$60,800,000",36%,2023
1106,1107,12 Monkeys,"$168,839,459","$57,141,459",33.8%,"$111,698,000",66.2%,1995
1107,1108,Ticket to Paradise,"$168,770,985","$68,275,985",40.4%,"$100,495,000",59.6%,2022
1108,1109,The Suicide Squad,"$168,717,425","$55,817,425",33.1%,"$112,900,000",66.9%,2021
1109,1110,Dodgeball: A True Underdog Story,"$168,423,227","$114,326,736",67.9%,"$54,096,491",32.1%,2004
1110,1111,Hellboy II: The Golden Army,"$168,319,243","$75,986,503",45.1%,"$92,332,740",54.9%,2008
1111,1112,Insidious: The Last Key,"$167,885,588","$67,745,330",40.4%,"$100,140,258",59.6%,2018
1112,1113,Fantastic Four,"$167,882,881","$56,117,548",33.4%,"$111,765,333",66.6%,2015
1113,1114,Unstoppable,"$167,805,466","$81,562,942",48.6%,"$86,242,524",51.4%,2010
1114,1115,Three Men and a Baby,"$167,780,960","$167,780,960",100%,$0,-,1987
1115,1116,Morbius,"$167,460,961","$73,865,530",44.1%,"$93,595,431",55.9%,2022
1116,1117,Alexander,"$167,298,192","$34,297,191",20.5%,"$133,001,001",79.5%,2004
1117,1118,Magic Mike,"$167,282,900","$113,781,613",68%,"$53,501,287",32%,2012
1118,1119,Up in the Air,"$166,842,739","$83,823,381",50.2%,"$83,019,358",49.8%,2009
1119,1120,Jujutsu Kaisen 0,"$166,760,828","$34,542,754",20.7%,"$132,218,074",79.3%,2021
1120,1121,RRR,"$166,611,197","$15,156,051",9.1%,"$151,455,146",90.9%,2022
1121,1122,Nutty Professor II: The Klumps,"$166,339,890","$123,309,890",74.1%,"$43,030,000",25.9%,2000
1122,1123,Sleepers,"$165,615,285","$53,315,285",32.2%,"$112,300,000",67.8%,1996
1123,1124,Bridge of Spies,"$165,478,348","$72,313,754",43.7%,"$93,164,594",56.3%,2015
1124,1125,The Princess Diaries,"$165,335,153","$108,248,956",65.5%,"$57,086,197",34.5%,2001
1125,1126,The Muppets,"$165,184,513","$88,631,237",53.7%,"$76,553,276",46.3%,2011
1126,1127,The Huntsman: Winter's War,"$164,989,338","$48,390,190",29.3%,"$116,599,148",70.7%,2016
1127,1128,Saw III,"$164,874,275","$80,238,724",48.7%,"$84,635,551",51.3%,2006
1128,1129,Six Days Seven Nights,"$164,839,294","$74,339,294",45.1%,"$90,500,000",54.9%,1998
1129,1130,Bringing Down the House,"$164,729,679","$132,716,677",80.6%,"$32,013,002",19.4%,2003
1130,1131,Deep Blue Sea,"$164,648,231","$73,648,142",44.7%,"$91,000,089",55.3%,1999
1131,1132,Speed 2: Cruise Control,"$164,508,066","$48,608,066",29.6%,"$115,900,000",70.4%,1997
1132,1133,Daddy Day Care,"$164,433,867","$104,297,061",63.4%,"$60,136,806",36.6%,2003
1133,1134,The Spiderwick Chronicles,"$164,170,327","$71,195,053",43.4%,"$92,975,274",56.6%,2008
1134,1135,The Pink Panther,"$164,115,897","$82,226,474",50.1%,"$81,889,423",49.9%,2006
1135,1136,Four Christmases,"$164,112,721","$120,146,040",73.2%,"$43,966,681",26.8%,2008
1136,1137,The Ring Two,"$163,995,949","$76,231,249",46.5%,"$87,764,700",53.5%,2005
1137,1138,From Vegas to Macau II,"$163,877,532",-,-,"$163,877,532",100%,2015
1138,1139,Miami Vice,"$163,794,509","$63,450,470",38.7%,"$100,344,039",61.3%,2006
1139,1140,Burn After Reading,"$163,728,902","$60,355,347",36.9%,"$103,373,555",63.1%,2008
1140,1141,Space Jam: A New Legacy,"$163,692,228","$70,592,228",43.1%,"$93,100,000",56.9%,2021
1141,1142,Pokémon: The First Movie - Mewtwo Strikes Back,"$163,644,940","$85,744,662",52.4%,"$77,900,278",47.6%,1999
1142,1143,The Happening,"$163,404,284","$64,506,874",39.5%,"$98,897,410",60.5%,2008
1143,1144,Talladega Nights: The Ballad of Ricky Bobby,"$163,362,432","$148,213,377",90.7%,"$15,149,055",9.3%,2006
1144,1145,World Trade Center,"$163,247,198","$70,278,893",43%,"$92,968,305",57%,2006
1145,1146,The Island,"$162,949,164","$35,818,913",22%,"$127,130,251",78%,2005
1146,1147,The Interpreter,"$162,944,923","$72,708,161",44.6%,"$90,236,762",55.4%,2005
1147,1148,Dick Tracy,"$162,738,726","$103,738,726",63.8%,"$59,000,000",36.2%,1990
1148,1149,"Three Billboards Outside Ebbing, Missouri","$162,729,321","$54,513,740",33.5%,"$108,215,581",66.5%,2017
1149,1150,27 Dresses,"$162,655,351","$76,808,654",47.2%,"$85,846,697",52.8%,2008
1150,1151,The Magnificent Seven,"$162,360,695","$93,432,655",57.6%,"$68,928,040",42.4%,2016
1151,1152,Eyes Wide Shut,"$162,260,377","$55,691,208",34.3%,"$106,569,169",65.7%,1999
1152,1153,Memoirs of a Geisha,"$162,242,962","$57,490,508",35.4%,"$104,752,454",64.6%,2005
1153,1154,Jack Reacher: Never Go Back,"$162,146,076","$58,697,076",36.2%,"$103,449,000",63.8%,2016
1154,1155,Insidious: Chapter 2,"$161,919,318","$83,586,447",51.6%,"$78,332,871",48.4%,2013
1155,1156,Limitless,"$161,849,455","$79,249,455",49%,"$82,600,000",51%,2011
1156,1157,Scream 3,"$161,834,276","$89,143,175",55.1%,"$72,691,101",44.9%,2000
1157,1158,Flight,"$161,772,375","$93,772,375",58%,"$68,000,000",42%,2012
1158,1159,Payback,"$161,626,121","$81,526,121",50.4%,"$80,100,000",49.6%,1999
1159,1160,Into the Storm,"$161,515,959","$47,615,959",29.5%,"$113,900,000",70.5%,2014
1160,1161,Unbroken,"$161,459,297","$115,637,895",71.6%,"$45,821,402",28.4%,2014
1161,1162,The Black Phone,"$161,440,742","$90,123,230",55.8%,"$71,317,512",44.2%,2022
1162,1163,Alien: Resurrection,"$161,376,069","$47,795,658",29.6%,"$113,580,411",70.4%,1997
1163,1164,The Hateful Eight,"$161,217,616","$54,117,416",33.6%,"$107,100,200",66.4%,2015
1164,1165,Ghostbusters: Frozen Empire,"$161,144,177","$98,144,177",60.9%,"$63,000,000",39.1%,2024
1165,1166,The Sacrifice,"$161,047,608",-,-,"$161,047,608",100%,2020
1166,1167,Born on the Fourth of July,"$161,001,698","$70,001,698",43.5%,"$91,000,000",56.5%,1989
1167,1168,Freaky Friday,"$160,849,833","$110,230,332",68.5%,"$50,619,501",31.5%,2003
1168,1169,Legends of the Fall,"$160,638,883","$66,638,883",41.5%,"$94,000,000",58.5%,1994
1169,1170,The Predator,"$160,542,134","$51,024,708",31.8%,"$109,517,426",68.2%,2018
1170,1171,Johnny English,"$160,466,000","$28,082,366",17.5%,"$132,383,634",82.5%,2003
1171,1172,The War of the Roses,"$160,188,546","$86,888,546",54.2%,"$73,300,000",45.8%,1989
1172,1173,Underworld: Awakening,"$160,112,671","$62,321,039",38.9%,"$97,791,632",61.1%,2012
1173,1174,Lara Croft: Tomb Raider - The Cradle of Life,"$160,099,222","$65,660,196",41%,"$94,439,026",59%,2003
1174,1175,Johnny English Reborn,"$160,078,586","$8,305,970",5.2%,"$151,772,616",94.8%,2011
1175,1176,Alien³,"$159,814,498","$55,473,545",34.7%,"$104,340,953",65.3%,1992
1176,1177,Norbit,"$159,814,490","$95,673,607",59.9%,"$64,140,883",40.1%,2007
1177,1178,21,"$159,808,370","$81,159,365",50.8%,"$78,649,005",49.2%,2008
1178,1179,Stepmom,"$159,710,793","$91,137,662",57.1%,"$68,573,131",42.9%,1998
1179,1180,The Sound of Music,"$159,470,192","$159,287,539",99.9%,"$182,653",0.1%,1965
1180,1181,The Jackal,"$159,330,280","$54,930,280",34.5%,"$104,400,000",65.5%,1997
1181,1182,Step Up 3D,"$159,291,809","$42,400,223",26.6%,"$116,891,586",73.4%,2010
1182,1183,Daylight,"$159,212,469","$33,023,469",20.7%,"$126,189,000",79.3%,1996
1183,1184,Happy Feet Two,"$159,197,038","$64,006,466",40.2%,"$95,190,572",59.8%,2011
1184,1185,Unforgiven,"$159,167,799","$101,167,799",63.6%,"$58,000,000",36.4%,1992
1185,1186,Focus,"$159,162,963","$53,862,963",33.8%,"$105,300,000",66.2%,2015
1186,1187,Johnny English Strikes Again,"$158,972,570","$4,412,170",2.8%,"$154,560,400",97.2%,2018
1187,1188,The Fast and the Furious: Tokyo Drift,"$158,968,749","$62,514,415",39.3%,"$96,454,334",60.7%,2006
1188,1189,Sin City,"$158,733,820","$74,103,820",46.7%,"$84,630,000",53.3%,2005
1189,1190,Goosebumps,"$158,261,424","$80,080,379",50.6%,"$78,181,045",49.4%,2015
1190,1191,Days of Thunder,"$157,920,733","$82,670,733",52.4%,"$75,250,000",47.6%,1990
1191,1192,Final Destination 5,"$157,887,643","$42,587,643",27%,"$115,300,000",73%,2011
1192,1193,Don't Breathe,"$157,761,002","$89,217,875",56.6%,"$68,543,127",43.4%,2016
1193,1194,Hustlers,"$157,563,598","$104,963,598",66.6%,"$52,600,000",33.4%,2019
1194,1195,Crimson Tide,"$157,387,195","$91,387,195",58.1%,"$66,000,000",41.9%,1995
1195,1196,The Matrix Resurrections,"$157,386,805","$37,686,805",24%,"$119,700,000",76%,2021
1196,1197,The Book of Eli,"$157,107,755","$94,835,059",60.4%,"$62,272,696",39.6%,2010
1197,1198,Ip Man 3,"$157,029,618","$2,679,437",1.7%,"$154,350,181",98.3%,2015
1198,1199,Killers of the Flower Moon,"$157,026,901","$68,026,901",43.3%,"$89,000,000",56.7%,2023
1199,1200,The Climbers,"$156,892,866","$487,157",0.3%,"$156,405,709",99.7%,2019
1200,1201,P.S. I Love You,"$156,846,321","$53,706,790",34.2%,"$103,139,531",65.8%,2007
1201,1202,The Monuments Men,"$156,706,638","$78,031,620",49.8%,"$78,675,018",50.2%,2014
1202,1203,Mystic River,"$156,595,191","$90,135,191",57.6%,"$66,460,000",42.4%,2003
1203,1204,Under Siege,"$156,563,139","$83,563,139",53.4%,"$73,000,000",46.6%,1992
1204,1205,This Means War,"$156,491,279","$54,760,791",35%,"$101,730,488",65%,2012
1205,1206,Licence to Kill,"$156,167,015","$34,667,015",22.2%,"$121,500,000",77.8%,1989
1206,1207,The Sting,"$156,000,000","$156,000,000",100%,$0,-,1973
1207,1208,Rocky Balboa,"$155,929,020","$70,270,943",45.1%,"$85,658,077",54.9%,2006
1208,1209,Escape Room,"$155,712,077","$57,005,601",36.6%,"$98,706,476",63.4%,2019
1209,1210,The Accountant,"$155,560,045","$86,260,045",55.4%,"$69,300,000",44.6%,2016
1210,1211,Hannah Montana: The Movie,"$155,545,279","$79,576,189",51.2%,"$75,969,090",48.8%,2009
1211,1212,Monster-in-Law,"$155,457,327","$82,931,301",53.4%,"$72,526,026",46.6%,2005
1212,1213,Dreamgirls,"$155,456,301","$103,365,956",66.5%,"$52,090,345",33.5%,2006
1213,1214,Bayside Shakedown 2,"$155,138,312",-,-,"$155,138,312",100%,2003
1214,1215,Blade II,"$155,010,032","$82,348,319",53.1%,"$72,661,713",46.9%,2002
1215,1216,Maid in Manhattan,"$154,906,693","$94,011,225",60.7%,"$60,895,468",39.3%,2002
1216,1217,Cool Runnings,"$154,856,263","$68,856,263",44.5%,"$86,000,000",55.5%,1993
1217,1218,Lone Survivor,"$154,802,912","$125,095,601",80.8%,"$29,707,311",19.2%,2013
1218,1219,The Phantom of the Opera,"$154,674,241","$51,293,931",33.2%,"$103,380,310",66.8%,2004
1219,1220,Yesterday,"$154,608,856","$73,286,650",47.4%,"$81,322,206",52.6%,2019
1220,1221,Ride Along,"$154,468,902","$134,938,200",87.4%,"$19,530,702",12.6%,2014
1221,1222,Kill Bill: Vol. 2,"$154,118,514","$66,208,183",43%,"$87,910,331",57%,2004
1222,1223,The Town,"$154,026,136","$92,186,262",59.8%,"$61,839,874",40.2%,2010
1223,1224,Gremlins,"$153,908,485","$153,642,180",99.8%,"$266,305",0.2%,1984
1224,1225,Peter Rabbit 2: The Runaway,"$153,901,717","$40,501,717",26.3%,"$113,400,000",73.7%,2021
1225,1226,Free Willy,"$153,709,806","$77,709,806",50.6%,"$76,000,000",49.4%,1993
1226,1227,Another 48 Hrs.,"$153,518,974","$80,818,974",52.6%,"$72,700,000",47.4%,1990
1227,1228,Sweeney Todd: The Demon Barber of Fleet Street,"$153,383,627","$52,898,073",34.5%,"$100,485,554",65.5%,2007
1228,1229,House of Gucci,"$153,269,161","$53,809,574",35.1%,"$99,459,587",64.9%,2021
1229,1230,Monkey King: Hero Is Back,"$153,262,397",-,-,"$153,262,397",100%,2015
1230,1231,The Devil's Advocate,"$152,944,660","$60,944,660",39.8%,"$92,000,000",60.2%,1997
1231,1232,Tower Heist,"$152,930,623","$78,046,570",51%,"$74,884,053",49%,2011
1232,1233,The First Slam Dunk,"$152,918,859","$1,291,869",0.8%,"$151,626,990",99.2%,2022
1233,1234,Duckweed,"$152,894,264","$471,575",0.3%,"$152,422,689",99.7%,2017
1234,1235,The Beekeeper,"$152,720,535","$66,220,535",43.4%,"$86,500,000",56.6%,2024
1235,1236,Chocolat,"$152,700,626","$71,509,363",46.8%,"$81,191,263",53.2%,2000
1236,1237,Backdraft,"$152,368,585","$77,868,585",51.1%,"$74,500,000",48.9%,1991
1237,1238,A Time to Kill,"$152,266,007","$108,766,007",71.4%,"$43,500,000",28.6%,1996
1238,1239,Date Night,"$152,263,880","$98,711,404",64.8%,"$53,552,476",35.2%,2010
1239,1240,Vantage Point,"$152,039,882","$72,266,306",47.5%,"$79,773,576",52.5%,2008
1240,1241,Phenomenon,"$152,036,382","$104,636,382",68.8%,"$47,400,000",31.2%,1996
1241,1242,Congo,"$152,022,101","$81,022,101",53.3%,"$71,000,000",46.7%,1995
1242,1243,Surf's Up,"$152,005,713","$58,867,694",38.7%,"$93,138,019",61.3%,2007
1243,1244,Big,"$151,927,281","$115,227,281",75.8%,"$36,700,000",24.2%,1988
1244,1245,Jackass Presents: Bad Grandpa,"$151,826,547","$102,003,019",67.2%,"$49,823,528",32.8%,2013
1245,1246,47 Ronin,"$151,783,839","$38,362,475",25.3%,"$113,421,364",74.7%,2013
1246,1247,Midnight in Paris,"$151,672,318","$56,817,045",37.5%,"$94,855,273",62.5%,2011
1247,1248,Red Sparrow,"$151,572,634","$46,874,505",30.9%,"$104,698,129",69.1%,2018
1248,1249,The Bone Collector,"$151,493,655","$66,518,655",43.9%,"$84,975,000",56.1%,1999
1249,1250,Arthur Christmas,"$151,411,134","$46,462,469",30.7%,"$104,948,665",69.3%,2011
1250,1251,Step Up 2: The Streets,"$150,988,382","$58,017,783",38.4%,"$92,970,599",61.6%,2008
1251,1252,Darkest Hour,"$150,847,274","$56,468,410",37.4%,"$94,378,864",62.6%,2017
1252,1253,Gods of Egypt,"$150,680,864","$31,153,464",20.7%,"$119,527,400",79.3%,2015
1253,1254,The Best Exotic Marigold Hotel,"$150,501,815","$46,412,041",30.8%,"$104,089,774",69.2%,2012
1254,1255,Broken Arrow,"$150,270,147","$70,770,147",47.1%,"$79,500,000",52.9%,1996
1255,1256,The Taking of Pelham 123,"$150,166,126","$65,452,312",43.6%,"$84,713,814",56.4%,2009
1256,1257,A Writer's Odyssey,"$150,123,320","$160,013",0.1%,"$149,963,307",99.9%,2021
1257,1258,I Am Number Four,"$149,878,437","$55,100,437",36.8%,"$94,778,000",63.2%,2011
1258,1259,The General's Daughter,"$149,705,852","$102,705,852",68.6%,"$47,000,000",31.4%,1999
1259,1260,Jack and Jill,"$149,673,788","$74,158,157",49.6%,"$75,515,631",50.4%,2011
1260,1261,The Secret World of Arrietty,"$149,660,003","$19,587,032",13.1%,"$130,072,971",86.9%,2010
1261,1262,Friends with Benefits,"$149,542,245","$55,802,754",37.3%,"$93,739,491",62.7%,2011
1262,1263,Lights Out,"$149,368,835","$67,268,835",45%,"$82,100,000",55%,2016
1263,1264,Beverly Hills Chihuahua,"$149,292,488","$94,514,402",63.3%,"$54,778,086",36.7%,2008
1264,1265,"Me, Myself & Irene","$149,270,999","$90,570,999",60.7%,"$58,700,000",39.3%,2000
1265,1266,No Strings Attached,"$149,228,077","$70,662,220",47.4%,"$78,565,857",52.6%,2011
1266,1267,King Arthur: Legend of the Sword,"$149,175,066","$39,175,066",26.3%,"$110,000,000",73.7%,2017
1267,1268,Death Becomes Her,"$149,022,650","$58,422,650",39.2%,"$90,600,000",60.8%,1992
1268,1269,Charlotte's Web,"$148,964,660","$82,985,708",55.7%,"$65,978,952",44.3%,2006
1269,1270,Seabiscuit,"$148,336,445","$120,277,854",81.1%,"$28,058,591",18.9%,2003
1270,1271,RED 2,"$148,075,565","$53,262,560",36%,"$94,813,005",64%,2013
1271,1272,Spy Kids,"$147,934,180","$112,719,001",76.2%,"$35,215,179",23.8%,2001
1272,1273,The Game Plan,"$147,880,543","$90,648,202",61.3%,"$57,232,341",38.7%,2007
1273,1274,The Mexican,"$147,845,033","$66,845,033",45.2%,"$81,000,000",54.8%,2001
1274,1275,The Angry Birds Movie 2,"$147,792,047","$41,667,116",28.2%,"$106,124,931",71.8%,2019
1275,1276,Saw II,"$147,748,505","$87,039,965",58.9%,"$60,708,540",41.1%,2005
1276,1277,Resident Evil: Extinction,"$147,717,833","$50,648,679",34.3%,"$97,069,154",65.7%,2007
1277,1278,Romeo + Juliet,"$147,554,998","$46,351,345",31.4%,"$101,203,653",68.6%,1996
1278,1279,Source Code,"$147,332,697","$54,712,227",37.1%,"$92,620,470",62.9%,2011
1279,1280,Beethoven,"$147,214,049","$57,114,049",38.8%,"$90,100,000",61.2%,1992
1280,1281,Swordfish,"$147,080,413","$69,772,969",47.4%,"$77,307,444",52.6%,2001
1281,1282,Evil Dead Rise,"$147,033,054","$67,233,054",45.7%,"$79,800,000",54.3%,2023
1282,1283,Planes: Fire & Rescue,"$146,965,787","$59,165,787",40.3%,"$87,800,000",59.7%,2014
1283,1284,The Last Witch Hunter,"$146,936,910","$27,367,660",18.6%,"$119,569,250",81.4%,2015
1284,1285,The Boss Baby 2: Family Business,"$146,745,280","$57,300,280",39%,"$89,445,000",61%,2021
1285,1286,Angel Has Fallen,"$146,661,977","$69,030,436",47.1%,"$77,631,541",52.9%,2019
1286,1287,Mama,"$146,428,180","$71,628,180",48.9%,"$74,800,000",51.1%,2013
1287,1288,Star Trek: First Contact,"$146,027,888","$92,027,888",63%,"$54,000,000",37%,1996
1288,1289,Music and Lyrics,"$145,896,422","$50,572,589",34.7%,"$95,323,833",65.3%,2007
1289,1290,Time Raiders,"$145,819,137",-,-,"$145,819,137",100%,2016
1290,1291,Driving Miss Daisy,"$145,793,296","$106,593,296",73.1%,"$39,200,000",26.9%,1989
1291,1292,Blades of Glory,"$145,710,347","$118,594,548",81.4%,"$27,115,799",18.6%,2007
1292,1293,The Foreigner,"$145,418,070","$34,393,507",23.6%,"$111,024,563",76.4%,2017
1293,1294,Home on the Range,"$145,358,062","$50,030,461",34.4%,"$95,327,601",65.6%,2004
1294,1295,The Exorcism of Emily Rose,"$145,166,804","$75,072,454",51.7%,"$70,094,350",48.3%,2005
1295,1296,"Crazy, Stupid, Love.","$145,086,643","$84,379,584",58.2%,"$60,707,059",41.8%,2011
1296,1297,The Invisible Man,"$144,492,724","$70,410,000",48.7%,"$74,082,724",51.3%,2020
1297,1298,Where the Crawdads Sing,"$144,353,965","$90,230,760",62.5%,"$54,123,205",37.5%,2022
1298,1299,PAW Patrol: The Movie,"$144,327,371","$40,127,371",27.8%,"$104,200,000",72.2%,2021
1299,1300,Herbie Fully Loaded,"$144,146,816","$66,023,816",45.8%,"$78,123,000",54.2%,2005
1300,1301,The Beach,"$144,056,873","$39,785,027",27.6%,"$104,271,846",72.4%,2000
1301,1302,Pete's Dragon,"$143,695,338","$76,233,151",53%,"$67,462,187",47%,2016
1302,1303,Die Hard,"$143,651,650","$85,892,546",59.8%,"$57,759,104",40.2%,1988
1303,1304,Everything Everywhere All at Once,"$143,411,356","$77,191,785",53.8%,"$66,219,571",46.2%,2022
1304,1305,Garfield: A Tail of Two Kitties,"$143,325,970","$28,426,747",19.8%,"$114,899,223",80.2%,2006
1305,1306,Spy Game,"$143,049,560","$62,362,560",43.6%,"$80,687,000",56.4%,2001
1306,1307,More Than Blue,"$142,958,164","$722,669",0.5%,"$142,235,495",99.5%,2018
1307,1308,Meet Joe Black,"$142,940,100","$44,619,100",31.2%,"$98,321,000",68.8%,1998
1308,1309,Paranormal Activity 4,"$142,802,657","$53,885,000",37.7%,"$88,917,657",62.3%,2012
1309,1310,The Legend of Zorro,"$142,400,065","$46,464,023",32.6%,"$95,936,042",67.4%,2005
1310,1311,Power Rangers,"$142,337,240","$85,364,450",60%,"$56,972,790",40%,2017
1311,1312,New Year's Eve,"$142,044,638","$54,544,638",38.4%,"$87,500,000",61.6%,2011
1312,1313,Onward,"$141,940,042","$61,555,145",43.4%,"$80,384,897",56.6%,2020
1313,1314,Monster House,"$141,861,243","$73,661,010",51.9%,"$68,200,233",48.1%,2006
1314,1315,Legally Blonde,"$141,778,188","$96,520,674",68.1%,"$45,257,514",31.9%,2001
1315,1316,The Taking of Tiger Mountain,"$141,654,055","$228,984",0.2%,"$141,425,071",99.8%,2014
1316,1317,National Lampoon's Animal House,"$141,607,219","$141,600,000",100%,"$7,219",<0.1%,1978
1317,1318,Gothika,"$141,591,324","$59,694,580",42.2%,"$81,896,744",57.8%,2003
1318,1319,Big Momma's House 2,"$141,522,961","$70,165,972",49.6%,"$71,356,989",50.4%,2006
1319,1320,Bad Boys,"$141,407,024","$65,807,024",46.5%,"$75,600,000",53.5%,1995
1320,1321,Mona Lisa Smile,"$141,337,989","$63,860,942",45.2%,"$77,477,047",54.8%,2003
1321,1322,Scary Movie 2,"$141,220,678","$71,308,997",50.5%,"$69,911,681",49.5%,2001
1322,1323,Shallow Hal,"$141,069,860","$70,839,203",50.2%,"$70,230,657",49.8%,2001
1323,1324,The SpongeBob SquarePants Movie,"$141,067,476","$85,417,988",60.6%,"$55,649,488",39.4%,2004
1324,1325,Evita,"$141,047,179","$50,047,179",35.5%,"$91,000,000",64.5%,1996
1325,1326,The Rugrats Movie,"$140,894,675","$100,494,675",71.3%,"$40,400,000",28.7%,1998
1326,1327,Lion,"$140,853,810","$51,738,905",36.7%,"$89,114,905",63.3%,2016
1327,1328,The Devil's Own,"$140,807,547","$42,868,348",30.4%,"$97,939,199",69.6%,1997
1328,1329,Trainwreck,"$140,795,793","$110,212,700",78.3%,"$30,583,093",21.7%,2015
1329,1330,Sausage Party,"$140,705,322","$97,685,686",69.4%,"$43,019,636",30.6%,2016
1330,1331,Girls Trip,"$140,552,359","$115,171,585",81.9%,"$25,380,774",18.1%,2017
1331,1332,Step Up Revolution,"$140,470,746","$35,074,677",25%,"$105,396,069",75%,2012
1332,1333,Sommersby,"$140,081,992","$50,081,992",35.8%,"$90,000,000",64.2%,1993
1333,1334,Legend of the Guardians: The Owls of Ga'Hoole,"$140,073,390","$55,675,313",39.8%,"$84,398,077",60.2%,2010
1334,1335,Anastasia,"$139,804,348","$58,406,347",41.8%,"$81,398,001",58.2%,1997
1335,1336,The Wolfman,"$139,789,765","$61,979,680",44.3%,"$77,810,085",55.7%,2010
1336,1337,Saw IV,"$139,352,633","$63,300,095",45.4%,"$76,052,538",54.6%,2007
1337,1338,Mr. Six,"$139,191,345","$1,415,450",1%,"$137,775,895",99%,2015
1338,1339,Brüno,"$138,805,831","$60,054,530",43.3%,"$78,751,301",56.7%,2009
1339,1340,Bird on a Wire,"$138,697,012","$70,978,012",51.2%,"$67,719,000",48.8%,1990
1340,1341,Platoon,"$138,545,632","$138,530,565",100%,"$15,067",<0.1%,1986
1341,1342,Nine Months,"$138,510,230","$69,684,532",50.3%,"$68,825,698",49.7%,1995
1342,1343,The Admiral: Roaring Currents,"$138,342,258","$2,589,811",1.9%,"$135,752,447",98.1%,2014
1343,1344,America's Sweethearts,"$138,307,673","$93,607,673",67.7%,"$44,700,000",32.3%,2001
1344,1345,Let's Be Cops,"$138,224,951","$82,390,774",59.6%,"$55,834,177",40.4%,2014
1345,1346,Far and Away,"$137,783,840","$58,883,840",42.7%,"$78,900,000",57.3%,1992
1346,1347,Scream,"$137,743,924","$81,641,405",59.3%,"$56,102,519",40.7%,2022
1347,1348,Bridge to Terabithia,"$137,587,063","$82,272,442",59.8%,"$55,314,621",40.2%,2007
1348,1349,Stardust,"$137,515,140","$38,634,938",28.1%,"$98,880,202",71.9%,2007
1349,1350,Escape Plan,"$137,328,301","$25,135,965",18.3%,"$112,192,336",81.7%,2013
